S_Label,S_Code,S_CUI,S_Depth,Pre_Label,Pre-Code,Pre_CUI,Pre_Depth,Post_Label,Post_Code,Post_CUI,Post_Depth
Birth trauma,767,C0005604,4,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Subdural and cerebral hemorrhage,767.0,C0836917,5,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Injuries to scalp due to birth trauma,767.1,C0270089,5,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Epicranial subaponeurotic hemorrhage (massive),767.11,C0270092,6,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Other injuries to scalp,767.19,C1260437,6,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Fracture of clavicle due to birth trauma,767.2,C0270094,5,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Other injuries to skeleton due to birth trauma,767.3,C0700643,5,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Injury to spine and spinal cord due to birth trauma,767.4,C0411063,5,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Facial nerve injury due to birth trauma,767.5,C0270103,5,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Injury to brachial plexus due to birth trauma,767.6,C0270105,5,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Other cranial and peripheral nerve injuries due to birth trauma,767.7,C0158925,5,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
Other specified birth trauma,767.8,C0477903,5,Birth trauma,767,C0005604,4,Birth Injuries,D001720,C0005604,5
"Birth trauma, unspecified",767.9,C0005604,5,"Birth trauma, unspecified",767.9,C0005604,5,Birth Injuries,D001720,C0005604,5
Unspecified severity of birth asphyxia in liveborn infant,768.9,C0004045,5,Unspecified severity of birth asphyxia in liveborn infant,768.9,C0004045,5,Asphyxia Neonatorum,D001238,C0004045,6
Respiratory distress syndrome in newborn,769,C0035220,4,Respiratory distress syndrome in newborn,769,C0035220,4,"Respiratory Distress Syndrome, Newborn",D012127,C0035220,6
Transitory tachypnea of newborn,770.6,C0158940,5,Transitory tachypnea of newborn,770.6,C0158940,5,Transient Tachypnea of the Newborn,D059245,C0158940,7
Congenital rubella,771.0,C0035921,5,Congenital rubella,771.0,C0035921,5,"Rubella Syndrome, Congenital",D012410,C0035921,7
"Hemolytic disease of fetus or newborn, due to isoimmunization",773,C0014761,4,"Hemolytic disease of fetus or newborn, due to isoimmunization",773,C0014761,4,"Erythroblastosis, Fetal",D004899,C0014761,6
Hemolytic disease of fetus or newborn due to Rh isoimmunization,773.0,C0158962,5,"Hemolytic disease of fetus or newborn, due to isoimmunization",773,C0014761,4,"Erythroblastosis, Fetal",D004899,C0014761,6
Hemolytic disease of fetus or newborn due to ABO isoimmunization,773.1,C0270202,5,"Hemolytic disease of fetus or newborn, due to isoimmunization",773,C0014761,4,"Erythroblastosis, Fetal",D004899,C0014761,6
Hemolytic disease of fetus or newborn due to other and unspecified isoimmunization,773.2,C0014761,5,"Hemolytic disease of fetus or newborn, due to isoimmunization",773,C0014761,4,"Erythroblastosis, Fetal",D004899,C0014761,6
Hydrops fetalis due to isoimmunization,773.3,C0455990,5,"Hemolytic disease of fetus or newborn, due to isoimmunization",773,C0014761,4,"Erythroblastosis, Fetal",D004899,C0014761,6
Kernicterus of fetus or newborn due to isoimmunization,773.4,C0270204,5,"Hemolytic disease of fetus or newborn, due to isoimmunization",773,C0014761,4,"Erythroblastosis, Fetal",D004899,C0014761,6
Late anemia of fetus or newborn due to isoimmunization,773.5,C0158967,5,"Hemolytic disease of fetus or newborn, due to isoimmunization",773,C0014761,4,"Erythroblastosis, Fetal",D004899,C0014761,6
Neonatal myasthenia gravis,775.2,C0158982,5,Neonatal myasthenia gravis,775.2,C0158982,5,"Myasthenia Gravis, Neonatal",D020941,C0158982,7
Sclerema neonatorum,778.1,C0036415,5,Sclerema neonatorum,778.1,C0036415,5,Sclerema Neonatorum,D012593,C0036415,6
Drug withdrawal syndrome in newborn,779.5,C0027609,5,Drug withdrawal syndrome in newborn,779.5,C0027609,5,Neonatal Abstinence Syndrome,D009357,C0027609,5
Periventricular leukomalacia,779.7,C0023529,5,Periventricular leukomalacia,779.7,C0023529,5,"Leukomalacia, Periventricular",D007969,C0023529,7
Bone graft,78.0,C0005976,4,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
"Bone graft, unspecified site",78.00,C0005976,5,"Bone graft, unspecified site",78.00,C0005976,5,Bone Transplantation,D016025,C0005976,6
"Bone graft, scapula, clavicle, and thorax [ribs and sternum]",78.01,C0177375,5,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
"Bone graft, humerus",78.02,C0186961,5,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
"Bone graft, radius and ulna",78.03,C0177376,5,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
"Bone graft, carpals and metacarpals",78.04,C0177377,5,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
"Bone graft, femur",78.05,C0188310,5,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
"Bone graft, patella",78.06,C0188313,5,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
"Bone graft, tibia and fibula",78.07,C0177378,5,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
"Bone graft, tarsals and metatarsals",78.08,C0177379,5,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
"Bone graft, other bones",78.09,C0177380,5,Bone graft,78.0,C0005976,4,Bone Transplantation,D016025,C0005976,6
Limb lengthening procedures,78.3,C0005949,4,Limb lengthening procedures,78.3,C0005949,4,Bone Lengthening,D001852,C0005949,6
"Limb lengthening procedures, unspecified site",78.30,C0005949,5,Limb lengthening procedures,78.3,C0005949,4,Bone Lengthening,D001852,C0005949,6
"Limb lengthening procedures, humerus",78.32,C0177400,5,Limb lengthening procedures,78.3,C0005949,4,Bone Lengthening,D001852,C0005949,6
"Limb lengthening procedures, radius and ulna",78.33,C0177401,5,Limb lengthening procedures,78.3,C0005949,4,Bone Lengthening,D001852,C0005949,6
"Limb lengthening procedures, carpals and metacarpals",78.34,C0177402,5,Limb lengthening procedures,78.3,C0005949,4,Bone Lengthening,D001852,C0005949,6
"Limb lengthening procedures, femur",78.35,C0177403,5,Limb lengthening procedures,78.3,C0005949,4,Bone Lengthening,D001852,C0005949,6
"Limb lengthening procedures, tibia and fibula",78.37,C0177404,5,Limb lengthening procedures,78.3,C0005949,4,Bone Lengthening,D001852,C0005949,6
"Limb lengthening procedures, tarsals and metatarsals",78.38,C0177405,5,Limb lengthening procedures,78.3,C0005949,4,Bone Lengthening,D001852,C0005949,6
"Limb lengthening procedures, other bones",78.39,C0177406,5,Limb lengthening procedures,78.3,C0005949,4,Bone Lengthening,D001852,C0005949,6
Coma,780.01,C0009421,6,Coma,780.01,C0009421,6,Coma,D003128,C0009421,8
Persistent vegetative state,780.03,C0242670,6,Persistent vegetative state,780.03,C0242670,6,Persistent Vegetative State,D018458,C0242670,8
Hallucinations,780.1,C0018524,5,Hallucinations,780.1,C0018524,5,Hallucinations,D006212,C0018524,7
Syncope and collapse,780.2,C0039070,5,Syncope and collapse,780.2,C0039070,5,Syncope,D013575,C0039070,8
"Febrile convulsions (simple), unspecified",780.31,C0009952,6,"Febrile convulsions (simple), unspecified",780.31,C0009952,6,"Seizures, Febrile",D003294,C0009952,8
Unspecified sleep apnea,780.57,C0037315,6,Unspecified sleep apnea,780.57,C0037315,6,Sleep Apnea Syndromes,D012891,C0037315,7
"Fever, unspecified",780.60,C0015967,6,"Fever, unspecified",780.60,C0015967,6,Fever,D005334,C0015967,7
Chronic fatigue syndrome,780.71,C0015674,6,Chronic fatigue syndrome,780.71,C0015674,6,"Fatigue Syndrome, Chronic",D015673,C0015674,5
Meningismus,781.6,C0025287,5,Meningismus,781.6,C0025287,5,Meningism,D008580,C0025287,6
Tetany,781.7,C0039621,5,Tetany,781.7,C0039621,5,Tetany,D013746,C0039621,7
Rash and other nonspecific skin eruption,782.1,C0015230,5,Rash and other nonspecific skin eruption,782.1,C0015230,5,Exanthema,D005076,C0015230,6
Edema,782.3,C0013604,5,Edema,782.3,C0013604,5,Edema,D004487,C0013604,6
Cyanosis,782.5,C0010520,5,Cyanosis,782.5,C0010520,5,Cyanosis,D003490,C0010520,6
Pallor,782.61,C0030232,6,Pallor,782.61,C0030232,6,Pallor,D010167,C0030232,7
Flushing,782.62,C0016382,6,Flushing,782.62,C0016382,6,Flushing,D005483,C0016382,6
Anorexia,783.0,C0003123,5,Anorexia,783.0,C0003123,5,Anorexia,D000855,C0003123,7
Loss of weight,783.21,C0043096,6,Loss of weight,783.21,C0043096,6,Weight Loss,D015431,C0043096,8
Failure to thrive,783.41,C0015544,6,Failure to thrive,783.41,C0015544,6,Failure to Thrive,D005183,C0015544,6
Polydipsia,783.5,C0085602,5,Polydipsia,783.5,C0085602,5,Polydipsia,D059606,C0085602,6
Polyphagia,783.6,C0020505,5,Polyphagia,783.6,C0020505,5,Hyperphagia,D006963,C0020505,7
Headache,784.0,C0018681,5,Headache,784.0,C0018681,5,Headache,D006261,C0018681,7
Aphasia,784.3,C0003537,5,Aphasia,784.3,C0003537,5,Aphasia,D001037,C0003537,9
Aphonia,784.41,C0003564,6,Aphonia,784.41,C0003564,6,Aphonia,D001044,C0003564,7
Dysphonia,784.42,C1527344,6,Dysphonia,784.42,C1527344,6,Dysphonia,D055154,C1527344,7
Dysarthria,784.51,C0013362,6,Dysarthria,784.51,C0013362,6,Dysarthria,D004401,C0013362,10
Epistaxis,784.7,C0014591,5,Epistaxis,784.7,C0014591,5,Epistaxis,D004844,C0014591,6
"Tachycardia, unspecified",785.0,C0039231,5,"Tachycardia, unspecified",785.0,C0039231,5,Tachycardia,D013610,C0039231,7
Gangrene,785.4,C0017086,5,Gangrene,785.4,C0017086,5,Gangrene,D005734,C0017086,7
"Shock, unspecified",785.50,C0036974,6,"Shock, unspecified",785.50,C0036974,6,Shock,D012769,C0036974,6
Cardiogenic shock,785.51,C0036980,6,Cardiogenic shock,785.51,C0036980,6,"Shock, Cardiogenic",D012770,C0036980,7
Septic shock,785.52,C0036983,6,Septic shock,785.52,C0036983,6,"Shock, Septic",D012772,C0036983,7
Hyperventilation,786.01,C0020578,6,Hyperventilation,786.01,C0020578,6,Hyperventilation,D006985,C0020578,6
Apnea,786.03,C0003578,6,Apnea,786.03,C0003578,6,Apnea,D001049,C0003578,6
Cheyne-Stokes respiration,786.04,C0008039,6,Cheyne-Stokes respiration,786.04,C0008039,6,Cheyne-Stokes Respiration,D002639,C0008039,6
Shortness of breath,786.05,C0013404,6,Shortness of breath,786.05,C0013404,6,Dyspnea,D004417,C0013404,6
Tachypnea,786.06,C0231835,6,Tachypnea,786.06,C0231835,6,Tachypnea,D059246,C0231835,6
Cough,786.2,C0010200,5,Cough,786.2,C0010200,5,Cough,D003371,C0010200,6
Hemoptysis,786.3,C0019079,5,Hemoptysis,786.3,C0019079,5,Hemoptysis,D006469,C0019079,6
"Hemoptysis, unspecified",786.30,C0019079,6,Hemoptysis,786.3,C0019079,5,Hemoptysis,D006469,C0019079,6
Acute idiopathic pulmonary hemorrhage in infants [AIPHI],786.31,C2921130,6,Hemoptysis,786.3,C0019079,5,Hemoptysis,D006469,C0019079,6
Other hemoptysis,786.39,C2921131,6,Hemoptysis,786.3,C0019079,5,Hemoptysis,D006469,C0019079,6
Chest pain,786.5,C0008031,5,Chest pain,786.5,C0008031,5,Chest Pain,D002637,C0008031,7
"Chest pain, unspecified",786.50,C0008031,6,"Chest pain, unspecified",786.50,C0008031,6,Chest Pain,D002637,C0008031,7
Precordial pain,786.51,C0232286,6,Chest pain,786.5,C0008031,5,Chest Pain,D002637,C0008031,7
Painful respiration,786.52,C0423729,6,Chest pain,786.5,C0008031,5,Chest Pain,D002637,C0008031,7
Other chest pain,786.59,C0029537,6,Chest pain,786.5,C0008031,5,Chest Pain,D002637,C0008031,7
Hiccough,786.8,C0019521,5,Hiccough,786.8,C0019521,5,Hiccup,D006606,C0019521,7
Heartburn,787.1,C0018834,5,Heartburn,787.1,C0018834,5,Heartburn,D006356,C0018834,7
Dysphagia,787.2,C0011168,5,Dysphagia,787.2,C0011168,5,Deglutition Disorders,D003680,C0011168,6
"Dysphagia, unspecified",787.20,C0011168,6,"Dysphagia, unspecified",787.20,C0011168,6,Deglutition Disorders,D003680,C0011168,6
"Dysphagia, oral phase",787.21,C2315800,6,Dysphagia,787.2,C0011168,5,Deglutition Disorders,D003680,C0011168,6
"Dysphagia, oropharyngeal phase",787.22,C0267071,6,Dysphagia,787.2,C0011168,5,Deglutition Disorders,D003680,C0011168,6
"Dysphagia, pharyngeal phase",787.23,C1955516,6,Dysphagia,787.2,C0011168,5,Deglutition Disorders,D003680,C0011168,6
"Dysphagia, pharyngoesophageal phase",787.24,C1955517,6,Dysphagia,787.2,C0011168,5,Deglutition Disorders,D003680,C0011168,6
Other dysphagia,787.29,C1955518,6,Dysphagia,787.2,C0011168,5,Deglutition Disorders,D003680,C0011168,6
Incontinence of feces,787.6,C0015732,5,Incontinence of feces,787.6,C0015732,5,Fecal Incontinence,D005242,C0015732,8
Full incontinence of feces,787.60,C2921132,6,Incontinence of feces,787.6,C0015732,5,Fecal Incontinence,D005242,C0015732,8
Incomplete defecation,787.61,C0239167,6,Incontinence of feces,787.6,C0015732,5,Fecal Incontinence,D005242,C0015732,8
Fecal smearing,787.62,C0475363,6,Incontinence of feces,787.6,C0015732,5,Fecal Incontinence,D005242,C0015732,8
Fecal urgency,787.63,C2921134,6,Incontinence of feces,787.6,C0015732,5,Fecal Incontinence,D005242,C0015732,8
Diarrhea,787.91,C0011991,6,Diarrhea,787.91,C0011991,6,Diarrhea,D003967,C0011991,7
Renal colic,788.0,C0152169,5,Renal colic,788.0,C0152169,5,Renal Colic,D056844,C0152169,8
Dysuria,788.1,C0013428,5,Dysuria,788.1,C0013428,5,Dysuria,D053159,C0013428,8
Retention of urine,788.2,C0080274,5,Retention of urine,788.2,C0080274,5,Urinary Retention,D016055,C0080274,7
"Retention of urine, unspecified",788.20,C0080274,6,Retention of urine,788.2,C0080274,5,Urinary Retention,D016055,C0080274,7
Incomplete bladder emptying,788.21,C0344365,6,Retention of urine,788.2,C0080274,5,Urinary Retention,D016055,C0080274,7
Other specified retention of urine,788.29,C0375549,6,Retention of urine,788.2,C0080274,5,Urinary Retention,D016055,C0080274,7
Urinary incontinence,788.3,C0042024,5,Urinary incontinence,788.3,C0042024,5,Urinary Incontinence,D014549,C0042024,7
"Urinary incontinence, unspecified",788.30,C0042024,6,"Urinary incontinence, unspecified",788.30,C0042024,6,Urinary Incontinence,D014549,C0042024,7
Urge incontinence,788.31,C0150045,6,Urge incontinence,788.31,C0150045,6,"Urinary Incontinence, Urge",D053202,C0150045,8
"Stress incontinence, male",788.32,C0302505,6,Urinary incontinence,788.3,C0042024,5,Urinary Incontinence,D014549,C0042024,7
Mixed incontinence (male) (female),788.33,C0869256,6,Urinary incontinence,788.3,C0042024,5,Urinary Incontinence,D014549,C0042024,7
Incontinence without sensory awareness,788.34,C0375551,6,Urinary incontinence,788.3,C0042024,5,Urinary Incontinence,D014549,C0042024,7
Post-void dribbling,788.35,C0375552,6,Urinary incontinence,788.3,C0042024,5,Urinary Incontinence,D014549,C0042024,7
Nocturnal enuresis,788.36,C0270327,6,Nocturnal enuresis,788.36,C0270327,6,Nocturnal Enuresis,D053206,C0270327,8
Continuous leakage,788.37,C0375553,6,Urinary incontinence,788.3,C0042024,5,Urinary Incontinence,D014549,C0042024,7
Overflow incontinence,788.38,C0312413,6,Urinary incontinence,788.3,C0042024,5,Urinary Incontinence,D014549,C0042024,7
Other urinary incontinence,788.39,C0375554,6,Urinary incontinence,788.3,C0042024,5,Urinary Incontinence,D014549,C0042024,7
Polyuria,788.42,C0032617,6,Polyuria,788.42,C0032617,6,Polyuria,D011141,C0032617,7
Nocturia,788.43,C0028734,6,Nocturia,788.43,C0028734,6,Nocturia,D053158,C0028734,8
Abdominal pain,789.0,C0000737,5,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
"Abdominal pain, unspecified site",789.00,C0000737,6,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
"Abdominal pain, right upper quadrant",789.01,C0235299,6,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
"Abdominal pain, left upper quadrant",789.02,C0238552,6,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
"Abdominal pain, right lower quadrant",789.03,C0694551,6,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
"Abdominal pain, left lower quadrant",789.04,C0238551,6,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
"Abdominal pain, periumbilic",789.05,C1096624,6,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
"Abdominal pain, epigastric",789.06,C0232493,6,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
"Abdominal pain, generalized",789.07,C0344304,6,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
"Abdominal pain, other specified site",789.09,C0375555,6,Abdominal pain,789.0,C0000737,5,Abdominal Pain,D015746,C0000737,7
Hepatomegaly,789.1,C0019209,5,Hepatomegaly,789.1,C0019209,5,Hepatomegaly,D006529,C0019209,6
Splenomegaly,789.2,C0038002,5,Splenomegaly,789.2,C0038002,5,Splenomegaly,D013163,C0038002,7
Ascites,789.5,C0003962,5,Ascites,789.5,C0003962,5,Ascites,D001201,C0003962,6
Malignant ascites,789.51,C0220656,6,Ascites,789.5,C0003962,5,Ascites,D001201,C0003962,6
Other ascites,789.59,C1955521,6,Ascites,789.5,C0003962,5,Ascites,D001201,C0003962,6
Colic,789.7,C0232488,5,Colic,789.7,C0232488,5,Colic,D003085,C0232488,8
Bacteremia,790.7,C0004610,5,Bacteremia,790.7,C0004610,5,Bacteremia,D016470,C0004610,6
"Viremia, unspecified",790.8,C0042749,5,"Viremia, unspecified",790.8,C0042749,5,Viremia,D014766,C0042749,5
Euthyroid sick syndrome,790.94,C0015190,6,Euthyroid sick syndrome,790.94,C0015190,6,Euthyroid Sick Syndromes,D005067,C0015190,6
Proteinuria,791.0,C0033687,5,Proteinuria,791.0,C0033687,5,Proteinuria,D011507,C0033687,7
Hemoglobinuria,791.2,C0019048,5,Hemoglobinuria,791.2,C0019048,5,Hemoglobinuria,D006456,C0019048,8
Myoglobinuria,791.3,C0027080,5,Myoglobinuria,791.3,C0027080,5,Myoglobinuria,D009212,C0027080,7
Glycosuria,791.5,C0017979,5,Glycosuria,791.5,C0017979,5,Glycosuria,D006029,C0017979,7
Solitary pulmonary nodule,793.11,C2350019,6,Solitary pulmonary nodule,793.11,C2350019,6,Solitary Pulmonary Nodule,D003074,C2350019,6
Nonspecific abnormal findings on chromosomal analysis,795.2,C0476431,5,Nonspecific abnormal findings on chromosomal analysis,795.2,C0476431,5,Abnormal Karyotype,D059786,C0476431,7
Abnormal reflex,796.1,C0034933,5,Abnormal reflex,796.1,C0034933,5,"Reflex, Abnormal",D012021,C0034933,6
Sudden infant death syndrome,798.0,C0038644,5,Sudden infant death syndrome,798.0,C0038644,5,Sudden Infant Death,D013398,C0038644,8
Asphyxia,799.01,C0004044,6,Asphyxia,799.01,C0004044,6,Asphyxia,D001237,C0004044,5
Irritability,799.22,C0022107,6,Irritability,799.22,C0022107,6,Irritable Mood,D007508,C0022107,7
Cachexia,799.4,C0006625,5,Cachexia,799.4,C0006625,5,Cachexia,D002100,C0006625,10
Arthroscopy,80.2,C0003904,4,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, unspecified site",80.20,C0376070,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, shoulder",80.21,C0559702,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, elbow",80.22,C0186599,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, wrist",80.23,C1533661,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, hand and finger",80.24,C0177503,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, hip",80.25,C0186190,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, knee",80.26,C1304878,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, ankle",80.27,C0188624,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, foot and toe",80.28,C0177504,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
"Arthroscopy, other specified sites",80.29,C0003906,5,Arthroscopy,80.2,C0003904,4,Arthroscopy,D001182,C0003904,6
Excision of intervertebral disc,80.51,C0206078,5,Excision of intervertebral disc,80.51,C0206078,5,Diskectomy,D017586,C0206078,6
Intervertebral chemonucleolysis,80.52,C0021816,5,Intervertebral chemonucleolysis,80.52,C0021816,5,Intervertebral Disc Chemolysis,D007404,C0021816,6
Fracture of vault of skull,800,C0159139,5,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
Closed fracture of vault of skull without mention of intracranial injury,800.0,C0159140,6,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull without mention of intracranial injury, unspecified state of consciousness",800.00,C0159141,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull without mention of intracranial injury, with no loss of consciousness",800.01,C0159142,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull without mention of intracranial injury, with brief [less than one hour] loss of consciousness",800.02,C0159143,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull without mention of intracranial injury, with moderate [1-24 hours] loss of consciousness",800.03,C0159144,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",800.04,C0159145,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",800.05,C0159146,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull without mention of intracranial injury, with loss of consciousness of unspecified duration",800.06,C0159147,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified",800.09,C0159148,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
Closed fracture of vault of skull with cerebral laceration and contusion,800.1,C0159149,6,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with cerebral laceration and contusion, unspecified state of consciousness",800.10,C0159150,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with cerebral laceration and contusion, with no loss of consciousness",800.11,C0159151,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness",800.12,C0159152,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness",800.13,C0159153,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",800.14,C0159154,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",800.15,C0159155,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with cerebral laceration and contusion, with loss of consciousness of unspecified duration",800.16,C0159156,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with cerebral laceration and contusion, with concussion, unspecified",800.19,C0375581,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage",800.2,C0159158,6,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",800.20,C0159159,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",800.21,C0159160,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness",800.22,C0159161,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness",800.23,C0159162,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",800.24,C0159163,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",800.25,C0159164,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration",800.26,C0159165,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified",800.29,C0375582,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
Closed fracture of vault of skull with other and unspecified intracranial hemorrhage,800.3,C0159167,6,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, unspecified state of consciousness",800.30,C0159168,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with no loss of consciousness",800.31,C0159169,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness",800.32,C0159170,7,FRACTURES,800-829.99,C0016658,3,"Fractures, Bone",D050723,C0016658,5
